"Camera","File","RelativePath","DateTime","Eland","Gemsbok","Springbok","Steenbok","Wildebeest","Lion","Springhare","Jackal","Leopard","Hyena","Polecat","latitude","longitude","datetime_hour"
"Cam1","MFDC2395.JPG","100MFCAM",2024-08-18 10:47:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 10:00:00
"Cam1","MFDC2396.JPG","100MFCAM",2024-08-18 10:57:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 10:00:00
"Cam1","MFDC2397.JPG","100MFCAM",2024-08-18 11:07:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 11:00:00
"Cam1","MFDC2398.JPG","100MFCAM",2024-08-18 11:17:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 11:00:00
"Cam1","MFDC2399.JPG","100MFCAM",2024-08-18 11:27:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 11:00:00
"Cam1","MFDC2400.JPG","100MFCAM",2024-08-18 11:37:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 11:00:00
"Cam1","MFDC2401.JPG","100MFCAM",2024-08-18 11:47:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 11:00:00
"Cam1","MFDC2402.JPG","100MFCAM",2024-08-18 11:57:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 11:00:00
"Cam1","MFDC2403.JPG","100MFCAM",2024-08-18 12:07:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 12:00:00
"Cam1","MFDC2404.JPG","100MFCAM",2024-08-18 12:17:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 12:00:00
"Cam1","MFDC2405.JPG","100MFCAM",2024-08-18 12:27:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 12:00:00
"Cam1","MFDC2406.JPG","100MFCAM",2024-08-18 12:37:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 12:00:00
"Cam1","MFDC2407.JPG","100MFCAM",2024-08-18 12:47:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 12:00:00
"Cam1","MFDC2408.JPG","100MFCAM",2024-08-18 12:57:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 12:00:00
"Cam1","MFDC2409.JPG","100MFCAM",2024-08-18 13:07:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 13:00:00
"Cam1","MFDC2410.JPG","100MFCAM",2024-08-18 13:17:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 13:00:00
"Cam1","MFDC2411.JPG","100MFCAM",2024-08-18 13:27:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 13:00:00
"Cam1","MFDC2412.JPG","100MFCAM",2024-08-18 13:37:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 13:00:00
"Cam1","MFDC2413.JPG","100MFCAM",2024-08-18 13:47:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 13:00:00
"Cam1","MFDC2414.JPG","100MFCAM",2024-08-18 13:57:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 13:00:00
"Cam1","MFDC2415.JPG","100MFCAM",2024-08-18 14:07:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 14:00:00
"Cam1","MFDC2416.JPG","100MFCAM",2024-08-18 14:17:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 14:00:00
"Cam1","MFDC2417.JPG","100MFCAM",2024-08-18 14:27:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 14:00:00
"Cam1","MFDC2418.JPG","100MFCAM",2024-08-18 14:37:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 14:00:00
"Cam1","MFDC2419.JPG","100MFCAM",2024-08-18 14:47:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 14:00:00
"Cam1","MFDC2420.JPG","100MFCAM",2024-08-18 14:57:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 14:00:00
"Cam1","MFDC2421.JPG","100MFCAM",2024-08-18 15:07:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 15:00:00
"Cam1","MFDC2422.JPG","100MFCAM",2024-08-18 15:17:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 15:00:00
"Cam1","MFDC2423.JPG","100MFCAM",2024-08-18 15:27:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 15:00:00
"Cam1","MFDC2424.JPG","100MFCAM",2024-08-18 15:37:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 15:00:00
"Cam1","MFDC2425.JPG","100MFCAM",2024-08-18 15:47:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 15:00:00
"Cam1","MFDC2426.JPG","100MFCAM",2024-08-18 15:57:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 15:00:00
"Cam1","MFDC2427.JPG","100MFCAM",2024-08-18 16:07:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 16:00:00
"Cam1","MFDC2428.JPG","100MFCAM",2024-08-18 16:17:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 16:00:00
"Cam1","MFDC2429.JPG","100MFCAM",2024-08-18 16:27:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 16:00:00
"Cam1","MFDC2430.JPG","100MFCAM",2024-08-18 16:37:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 16:00:00
"Cam1","MFDC2431.JPG","100MFCAM",2024-08-18 16:47:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 16:00:00
"Cam1","MFDC2432.JPG","100MFCAM",2024-08-18 16:57:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 16:00:00
"Cam1","MFDC2433.JPG","100MFCAM",2024-08-18 17:07:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 17:00:00
"Cam1","MFDC2434.JPG","100MFCAM",2024-08-18 17:17:19,0,0,0,0,0,0,0,0,0,0,0,-26.15283889,21.82127778,2024-08-18 17:00:00
